,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1430818,,,,,,,,1,11/01/2022,Vente,"157600,00",142.0,,RUE,4680,J RENAUD DANDICOLLE,33000.0,BORDEAUX,33,63,,HS,71,,,,,,,,,,,,0,1.0,Maison,,75.0,3.0,S,,96.0
1430819,,,,,,,,1,13/01/2022,Vente,"327600,00",33.0,,RUE,8570,SAUVAGEON,33300.0,BORDEAUX,33,63,,SH,11,,,,,,,,,,,,0,1.0,Maison,,90.0,3.0,S,,185.0
1430826,,,,,,,,1,17/01/2022,Vente,"560000,00",48.0,,RUE,7240,PEYRONNET,33800.0,BORDEAUX,33,63,,DI,55,,25,"96,92",,,,,,,,,1,2.0,Appartement,,112.0,2.0,,,
1430827,,,,,,,,1,07/01/2022,Vente,"540000,00",9.0,,RUE,6635,MURAT,33200.0,BORDEAUX,33,63,,VP,65,,,,,,,,,,,,0,1.0,Maison,,115.0,4.0,S,,362.0
1430831,,,,,,,,1,11/01/2022,Vente,"325000,00",109.0,,RUE,4810,JUDAIQUE,33000.0,BORDEAUX,33,63,,LA,158,,4,"52,58",,,,,,,,,1,2.0,Appartement,,40.0,3.0,,,
1430834,,,,,,,,1,14/01/2022,Vente,"307500,00",7.0,,RUE,6910,DU PANORAMA,33200.0,BORDEAUX,33,63,,OL,121,,,,,,,,,,,,0,1.0,Maison,,45.0,2.0,S,,65.0
1430836,,,,,,,,1,07/01/2022,Vente,"599000,00",5.0,,RUE,1395,CALVE,33000.0,BORDEAUX,33,63,,LO,20,,2,,,,,,,,,,1,2.0,Appartement,,90.0,3.0,,,
1430843,,,,,,,,1,14/01/2022,Vente,"254000,00",60.0,,AV,3140,EMILE COUNORD,33300.0,BORDEAUX,33,63,,RC,104,,14,,,,,,,,,,1,2.0,Appartement,,67.0,3.0,,,
1430844,,,,,,,,1,03/01/2022,Vente,"112014,00",10.0,,RUE,4270,GUIRAUDE,33000.0,BORDEAUX,33,63,,KJ,226,,5,"15,00",,,,,,,,,1,2.0,Appartement,,17.0,1.0,,,
1430845,,,,,,,,1,03/01/2022,Vente,"137563,40",208.0,,CRS,6065,DE LA MARNE,33800.0,BORDEAUX,33,63,,DK,304,,1,"27,00",,,,,,,,,1,2.0,Appartement,,29.0,1.0,,,
